class_name, target_acc, source_acc, target_ex, source_ex
aircraft_carrier,0.7894736842105263,0.9923076923076923,57,390
alarm_clock,0.9183673469387755,0.9481765834932822,196,521
ant,0.819047619047619,0.910761154855643,105,381
anvil,0.8235294117647058,0.9126506024096386,85,332
asparagus,0.8275862068965517,0.91350531107739,203,659
axe,0.6713615023474179,0.9109947643979057,213,382
banana,0.8787878787878788,0.8682170542635659,198,258
basket,0.8817204301075269,0.9594594594594594,186,444
bathtub,0.8970588235294118,0.9574468085106383,204,517
bear,0.4011627906976744,0.9145299145299145,172,585
bee,0.7971014492753623,0.8938053097345132,138,452
bird,0.8633333333333333,0.7870485678704857,300,803
blackberry,0.5555555555555556,0.8503521126760564,54,568
blueberry,0.2764227642276423,0.5661664392905866,123,733
bottlecap,0.7443609022556391,0.7920792079207921,133,606
broccoli,0.7085714285714285,0.8924889543446245,175,679
bus,0.8942731277533039,0.9530201342281879,227,745
butterfly,0.8683127572016461,0.9331306990881459,243,658
cactus,0.7636363636363637,0.7462006079027356,55,658
cake,0.49295774647887325,0.8409669211195929,71,786
calculator,0.8888888888888888,0.8903743315508021,63,374
camel,0.9274193548387096,0.8681541582150102,124,493
camera,0.6990291262135923,0.94375,103,480
candle,0.8309859154929577,0.9033816425120773,71,621
cannon,0.5977011494252874,0.9033333333333333,87,300
canoe,0.5365853658536586,0.9758179231863442,123,703
carrot,0.42857142857142855,0.6619469026548672,28,565
castle,0.78,0.9560117302052786,50,682
cat,0.5403225806451613,0.9296482412060302,124,796
ceiling_fan,0.631578947368421,0.9170506912442397,19,217
cello,0.7758620689655172,0.9355555555555556,58,450
cell_phone,0.4117647058823529,0.7442307692307693,17,520
chair,0.6444444444444445,0.94375,90,320
chandelier,0.32142857142857145,0.7150127226463104,28,393
coffee_cup,0.7407407407407407,0.552099533437014,27,643
compass,0.375,0.8529411764705882,8,272
computer,0.28,0.6574585635359116,25,362
cow,0.2727272727272727,0.8761552680221811,11,541
crab,0.9041095890410958,0.7768479776847977,146,717
crocodile,0.864516129032258,0.9186535764375876,155,713
cruise_ship,0.7631578947368421,0.9667721518987342,152,632
dog,0.6131147540983607,0.9194373401534527,305,782
dolphin,0.7974683544303798,0.7814113597246127,79,581
dragon,0.5736842105263158,0.6144329896907217,190,485
drums,0.7019230769230769,0.9622886866059818,208,769
duck,0.5555555555555556,0.844059405940594,270,404
dumbbell,0.5869565217391305,0.8674698795180723,184,581
elephant,0.9346153846153846,0.9429657794676806,260,789
eyeglasses,0.5774647887323944,0.9426470588235294,213,680
feather,0.8181818181818182,0.8574257425742574,330,505
fence,0.8283582089552238,0.990909090909091,134,770
fish,0.6866485013623979,0.8413361169102297,367,479
flamingo,0.9558823529411765,0.9003690036900369,136,542
flower,0.6090909090909091,0.8777777777777778,330,360
foot,0.8274509803921568,0.8709677419354839,255,558
fork,0.7588235294117647,0.8347578347578347,170,351
frog,0.7715736040609137,0.8909329829172142,197,761
giraffe,0.8111111111111111,0.9764309764309764,180,594
goatee,0.9061032863849765,1.0,213,562
grapes,0.8612099644128114,0.8869209809264306,281,734
guitar,0.8361581920903954,0.9462025316455697,177,632
hammer,0.6461538461538462,0.7550432276657061,65,347
helicopter,0.9123711340206185,0.9477611940298507,194,804
helmet,0.7156862745098039,0.9180064308681672,204,622
horse,0.9072164948453608,0.937984496124031,97,645
kangaroo,0.8879310344827587,0.8254486133768353,116,613
lantern,0.7058823529411765,0.8136882129277566,34,526
laptop,0.48881789137380194,0.9328165374677002,313,387
leaf,0.4543010752688172,0.7874396135265701,372,414
lion,0.7438271604938271,0.8875968992248062,324,516
lipstick,0.6923076923076923,0.9147982062780269,104,446
lobster,0.8273809523809523,0.8567026194144838,168,649
microphone,0.8733333333333333,0.9039145907473309,150,562
monkey,0.675,0.8640915593705293,160,699
mosquito,0.7318840579710145,0.8274021352313167,138,562
mouse,0.2066115702479339,0.7891156462585034,121,147
mug,0.4888888888888889,0.8545150501672241,180,598
mushroom,0.7926829268292683,0.7550761421319797,246,788
onion,0.9671052631578947,0.7295492487479132,152,599
panda,0.8904109589041096,0.909710391822828,73,587
